transaction_id,transaction_time,customer_id,product_id,quantity,unit_price,product_category,product_type,product,size,day_of_week
296,14:49:18,328,79,1,3.75,Bakery,Scone,Jumbo Savory Scone,Regular,0
297,12:05:26,331,48,2,2.5,Tea,Brewed Black tea,English Breakfast,Rg,0
298,18:30:05,414,55,2,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg,0
317,19:57:08,567,48,1,2.5,Tea,Brewed Black tea,English Breakfast,Rg,0
325,19:23:13,526,22,2,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm,0
326,12:05:31,659,52,2,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg,0
334,18:12:37,492,25,2,2.2,Coffee,Organic brewed coffee,Brazilian,Sm,0
337,18:14:17,655,39,2,4.25,Coffee,Barista Espresso,Latte,Rg,0
344,17:28:16,500,41,1,4.25,Coffee,Barista Espresso,Cappuccino,Lg,0
357,15:34:10,530,41,2,4.25,Coffee,Barista Espresso,Cappuccino,Lg,0
357,15:34:10,530,76,1,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,Regular,0
360,15:30:57,114,38,2,3.75,Coffee,Barista Espresso,Latte,Regular,0
366,18:33:47,301,51,1,3.0,Tea,Brewed Black tea,Earl Grey,Lg,0
384,16:04:18,602,54,2,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg,0
385,11:32:46,565,31,2,2.2,Coffee,Gourmet brewed coffee,Ethiopia,Sm,0
389,17:00:27,335,29,1,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg,0
390,12:20:37,52,25,1,2.2,Coffee,Organic brewed coffee,Brazilian,Sm,0
391,18:05:52,216,33,2,3.5,Coffee,Gourmet brewed coffee,Ethiopia,Lg,0
391,18:05:52,216,79,1,3.75,Bakery,Scone,Jumbo Savory Scone,Regular,0
396,14:45:31,550,47,1,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg,0
405,19:31:31,481,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg,0
411,12:23:27,516,22,2,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm,0
413,16:03:50,508,31,1,2.2,Coffee,Gourmet brewed coffee,Ethiopia,Sm,0
413,16:03:50,508,76,1,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,Regular,0
421,19:52:28,717,34,2,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm,0
422,14:14:08,641,26,1,3.0,Coffee,Organic brewed coffee,Brazilian,Rg,0
426,15:45:16,525,46,2,2.5,Tea,Brewed Green tea,Serenity Green Tea,Rg,0
427,19:03:00,384,22,1,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm,0
429,12:56:59,784,47,1,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg,0
434,17:26:52,383,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg,0
446,12:15:02,659,50,2,2.5,Tea,Brewed Black tea,Earl Grey,Rg,0
447,14:51:44,235,30,1,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Lg,0
451,12:55:25,319,49,1,3.0,Tea,Brewed Black tea,English Breakfast,Lg,0
457,16:17:06,647,34,2,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm,0
459,18:09:04,320,35,1,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg,0
461,17:54:11,326,56,2,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Rg,0
470,18:38:00,122,41,1,4.25,Coffee,Barista Espresso,Cappuccino,Lg,0
474,18:13:09,453,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg,0
480,16:37:34,185,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg,0
483,19:15:15,393,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg,0
490,16:24:40,392,47,2,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg,0
490,16:24:40,392,74,1,3.5,Bakery,Biscotti,Ginger Biscotti,Regular,0
494,18:25:42,241,35,1,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg,0
495,18:51:23,777,24,2,3.0,Coffee,Drip coffee,Our Old Time Diner Blend,Lg,0
497,16:49:38,407,52,1,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg,0
501,16:16:43,659,39,1,4.25,Coffee,Barista Espresso,Latte,Rg,0
510,15:15:17,288,35,2,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg,0
510,15:15:17,288,79,1,3.75,Bakery,Scone,Jumbo Savory Scone,Regular,0
511,18:07:54,15,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg,0
513,11:08:11,486,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg,0
516,16:02:33,206,43,2,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg,0
516,16:02:33,206,71,1,3.75,Bakery,Pastry,Chocolate Croissant,Regular,0
523,14:00:44,315,25,1,2.2,Coffee,Organic brewed coffee,Brazilian,Sm,0
528,17:12:46,197,55,2,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg,0
529,19:49:37,329,36,1,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg,0
530,19:28:35,184,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg,0
534,18:52:34,474,22,1,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm,0
537,12:18:27,706,38,1,3.75,Coffee,Barista Espresso,Latte,Regular,0
539,17:18:36,384,29,1,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg,0
541,19:17:34,537,52,2,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg,0
546,18:49:48,128,27,1,3.5,Coffee,Organic brewed coffee,Brazilian,Lg,0
550,11:12:39,349,22,2,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm,0
554,17:11:09,245,25,1,2.2,Coffee,Organic brewed coffee,Brazilian,Sm,0
555,18:23:47,244,32,2,3.0,Coffee,Gourmet brewed coffee,Ethiopia,Rg,0
558,13:44:48,65,56,1,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Rg,0
562,13:03:13,616,43,2,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg,0
565,11:45:11,284,51,2,3.0,Tea,Brewed Black tea,Earl Grey,Lg,0
566,12:20:16,384,60,2,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg,0
575,17:41:55,269,55,2,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg,0
575,17:41:55,269,71,1,3.75,Bakery,Pastry,Chocolate Croissant,Regular,0
580,11:15:17,736,54,2,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg,0
585,17:58:05,385,52,2,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg,0
586,15:14:19,25,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg,0
588,12:45:52,200,28,2,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Sm,0
590,16:39:24,450,36,1,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg,0
591,16:32:46,644,51,2,3.0,Tea,Brewed Black tea,Earl Grey,Lg,0
593,18:18:10,482,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg,0
599,12:58:29,83,41,1,4.25,Coffee,Barista Espresso,Cappuccino,Lg,0
601,11:47:57,199,23,1,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg,0
601,11:47:57,199,69,1,3.25,Bakery,Biscotti,Hazelnut Biscotti,Regular,0
602,16:22:38,425,22,1,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm,0
610,15:30:16,222,43,1,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg,0
611,11:17:40,776,51,2,3.0,Tea,Brewed Black tea,Earl Grey,Lg,0
616,11:30:18,190,30,2,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Lg,0
625,18:34:46,729,25,2,2.2,Coffee,Organic brewed coffee,Brazilian,Sm,0
625,18:34:46,729,77,1,3.0,Bakery,Scone,Oatmeal Scone,Regular,0
641,16:48:51,749,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg,0
646,18:16:21,281,54,2,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg,0
660,19:58:29,362,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg,0
675,15:29:24,271,57,1,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Lg,0
675,15:29:24,271,70,1,3.25,Bakery,Scone,Cranberry Scone,Regular,0
676,11:09:01,289,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg,0
677,14:01:57,124,36,2,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg,0
684,11:57:17,693,37,2,3.0,Coffee,Barista Espresso,Espresso shot,Regular,0
691,17:39:57,602,25,1,2.2,Coffee,Organic brewed coffee,Brazilian,Sm,0
691,17:39:57,602,77,1,3.0,Bakery,Scone,Oatmeal Scone,Regular,0
693,18:13:19,376,60,2,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg,0
694,14:19:10,251,60,1,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg,0
703,13:21:23,459,38,2,3.75,Coffee,Barista Espresso,Latte,Regular,0
709,12:30:46,120,44,2,2.5,Tea,Brewed herbal tea,Peppermint,Rg,0
711,18:34:56,136,60,2,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg,0
724,13:05:56,596,58,1,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Rg,0
725,19:25:42,393,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg,0
728,16:31:22,126,51,2,3.0,Tea,Brewed Black tea,Earl Grey,Lg,0
737,15:01:21,162,34,2,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm,0
739,12:46:22,230,56,1,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Rg,0
755,18:43:42,290,25,1,2.2,Coffee,Organic brewed coffee,Brazilian,Sm,0
766,15:09:37,119,22,1,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm,0
770,17:22:29,332,58,2,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Rg,0
771,16:38:05,138,35,1,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg,0
777,14:35:47,361,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg,0
778,15:10:55,488,42,1,2.5,Tea,Brewed herbal tea,Lemon Grass,Rg,0
780,14:05:30,222,60,1,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg,0
782,18:00:34,141,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg,0
789,18:31:25,505,41,2,4.25,Coffee,Barista Espresso,Cappuccino,Lg,0
790,12:42:26,139,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg,0
793,13:09:20,473,26,1,3.0,Coffee,Organic brewed coffee,Brazilian,Rg,0
798,19:29:01,329,44,2,2.5,Tea,Brewed herbal tea,Peppermint,Rg,0
803,11:26:24,600,49,2,3.0,Tea,Brewed Black tea,English Breakfast,Lg,0
807,16:47:11,796,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg,0
809,16:51:18,52,37,2,3.0,Coffee,Barista Espresso,Espresso shot,Regular,0
810,18:51:41,702,28,1,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Sm,0
820,19:21:29,466,51,1,3.0,Tea,Brewed Black tea,Earl Grey,Lg,0
820,19:21:29,466,74,1,3.5,Bakery,Biscotti,Ginger Biscotti,Regular,0
823,19:32:22,24,47,1,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg,0
828,11:14:07,456,52,1,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg,0
831,19:38:46,406,55,2,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg,0
855,15:12:22,637,24,1,3.0,Coffee,Drip coffee,Our Old Time Diner Blend,Lg,0
859,17:44:28,209,27,2,3.5,Coffee,Organic brewed coffee,Brazilian,Lg,0
859,17:44:28,209,74,1,3.5,Bakery,Biscotti,Ginger Biscotti,Regular,0
861,13:09:03,438,35,1,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg,0
869,16:42:12,536,36,2,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg,0
873,19:07:26,550,46,1,2.5,Tea,Brewed Green tea,Serenity Green Tea,Rg,0
873,19:07:26,550,78,1,4.5,Bakery,Scone,Scottish Cream Scone,Regular,0
889,16:58:31,548,45,2,3.0,Tea,Brewed herbal tea,Peppermint,Lg,0
889,16:58:31,548,70,1,3.25,Bakery,Scone,Cranberry Scone,Regular,0
891,12:12:21,662,34,2,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm,0
891,12:12:21,662,71,1,3.75,Bakery,Pastry,Chocolate Croissant,Regular,0
901,15:09:38,341,29,1,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg,0
901,15:09:38,341,71,1,3.75,Bakery,Pastry,Chocolate Croissant,Regular,0
902,13:23:54,685,58,2,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Rg,0
917,19:10:16,631,27,2,3.5,Coffee,Organic brewed coffee,Brazilian,Lg,0
919,19:06:41,675,54,1,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg,0
921,11:44:31,773,56,1,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Rg,0
923,13:44:26,740,57,1,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Lg,0
924,12:58:53,743,57,2,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Lg,0
932,15:55:09,296,44,2,2.5,Tea,Brewed herbal tea,Peppermint,Rg,0
944,19:25:57,63,50,2,2.5,Tea,Brewed Black tea,Earl Grey,Rg,0
944,19:25:57,63,69,1,3.25,Bakery,Biscotti,Hazelnut Biscotti,Regular,0
946,12:04:37,563,47,2,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg,0
948,16:18:56,424,61,1,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Lg,0
960,14:07:56,382,23,1,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg,0
964,12:33:20,608,54,2,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg,0
968,18:22:07,497,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg,0
969,15:19:19,313,43,1,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg,0
984,15:17:06,81,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg,0
988,16:58:33,384,37,1,3.0,Coffee,Barista Espresso,Espresso shot,Regular,0
993,13:42:10,398,43,1,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg,0
994,15:50:59,44,39,1,4.25,Coffee,Barista Espresso,Latte,Rg,0
1000,16:07:20,732,23,2,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg,0
1010,16:17:52,430,29,2,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg,0
1014,13:19:36,601,23,1,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg,0
1015,11:40:26,7,52,2,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg,0
1017,11:15:33,318,54,1,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg,0
1018,19:39:00,467,47,2,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg,0
1023,15:27:11,434,58,2,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Rg,0
1033,14:53:00,781,43,1,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg,0
1042,19:45:16,316,41,1,4.25,Coffee,Barista Espresso,Cappuccino,Lg,0
1046,19:38:00,399,33,1,3.5,Coffee,Gourmet brewed coffee,Ethiopia,Lg,0
1051,19:04:14,403,29,2,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg,0
1052,17:59:05,685,48,1,2.5,Tea,Brewed Black tea,English Breakfast,Rg,0
1057,15:44:32,409,44,2,2.5,Tea,Brewed herbal tea,Peppermint,Rg,0
1057,15:44:32,409,78,1,4.5,Bakery,Scone,Scottish Cream Scone,Regular,0
1064,17:32:16,557,38,2,3.75,Coffee,Barista Espresso,Latte,Regular,0
1065,12:33:35,231,29,2,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg,0
1071,11:36:00,571,40,2,3.75,Coffee,Barista Espresso,Cappuccino,Regular,0
1072,16:20:47,235,41,1,4.25,Coffee,Barista Espresso,Cappuccino,Lg,0
1088,15:59:51,226,50,2,2.5,Tea,Brewed Black tea,Earl Grey,Rg,0
1093,16:03:30,745,34,2,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm,0
1094,15:01:50,355,27,1,3.5,Coffee,Organic brewed coffee,Brazilian,Lg,0
1095,13:40:47,177,54,2,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg,0
1096,17:15:12,379,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg,0
1108,11:36:56,654,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg,0
1114,17:10:35,428,59,1,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg,0
1116,17:29:08,402,37,1,3.0,Coffee,Barista Espresso,Espresso shot,Regular,0
1117,18:10:03,179,58,1,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Rg,0
1120,14:45:37,536,38,1,3.75,Coffee,Barista Espresso,Latte,Regular,0
1123,12:09:46,299,26,2,3.0,Coffee,Organic brewed coffee,Brazilian,Rg,0
1125,12:50:28,184,32,2,3.0,Coffee,Gourmet brewed coffee,Ethiopia,Rg,0
1145,12:13:07,328,42,1,2.5,Tea,Brewed herbal tea,Lemon Grass,Rg,0
1146,17:22:36,574,36,1,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg,0
1151,13:41:09,337,42,2,2.5,Tea,Brewed herbal tea,Lemon Grass,Rg,0
1167,17:51:22,5,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg,0
1169,13:52:28,669,56,2,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Rg,0
1169,13:52:28,669,70,1,3.25,Bakery,Scone,Cranberry Scone,Regular,0
1182,19:18:58,80,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg,0
1185,12:40:00,490,37,2,3.0,Coffee,Barista Espresso,Espresso shot,Regular,0
1185,12:40:00,490,69,1,3.25,Bakery,Biscotti,Hazelnut Biscotti,Regular,0
1187,12:48:08,567,38,2,3.75,Coffee,Barista Espresso,Latte,Regular,0
1195,11:50:23,222,36,2,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg,0
1198,15:44:22,408,38,2,3.75,Coffee,Barista Espresso,Latte,Regular,0
1201,16:56:48,85,28,1,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Sm,0
1206,15:52:23,540,29,2,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg,0
1207,12:36:17,55,40,2,3.75,Coffee,Barista Espresso,Cappuccino,Regular,0
1207,12:36:17,55,71,1,3.75,Bakery,Pastry,Chocolate Croissant,Regular,0
1209,17:29:25,2,46,1,2.5,Tea,Brewed Green tea,Serenity Green Tea,Rg,0
1209,17:29:25,2,75,1,3.5,Bakery,Pastry,Croissant,Regular,0
1210,19:41:15,135,51,1,3.0,Tea,Brewed Black tea,Earl Grey,Lg,0
1230,15:27:54,227,56,1,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Rg,0
1233,15:42:49,305,40,1,3.75,Coffee,Barista Espresso,Cappuccino,Regular,0
1238,12:43:33,453,29,1,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Rg,0
1247,11:33:29,146,45,1,3.0,Tea,Brewed herbal tea,Peppermint,Lg,0
1247,11:33:29,146,74,1,3.5,Bakery,Biscotti,Ginger Biscotti,Regular,0
1257,13:35:04,646,30,2,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Lg,0
1261,14:02:12,770,49,1,3.0,Tea,Brewed Black tea,English Breakfast,Lg,0
1264,14:55:34,97,34,2,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm,0
1271,12:46:55,434,33,1,3.5,Coffee,Gourmet brewed coffee,Ethiopia,Lg,0
1271,12:46:55,434,75,1,3.5,Bakery,Pastry,Croissant,Regular,0
1278,14:20:06,181,35,2,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg,0
1279,12:56:33,247,61,1,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Lg,0
1285,15:55:50,3,31,2,2.2,Coffee,Gourmet brewed coffee,Ethiopia,Sm,0
1286,15:26:37,606,41,2,4.25,Coffee,Barista Espresso,Cappuccino,Lg,0
1288,17:55:47,603,59,2,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg,0
1288,17:55:47,603,70,1,3.25,Bakery,Scone,Cranberry Scone,Regular,0
1291,14:46:03,428,44,2,2.5,Tea,Brewed herbal tea,Peppermint,Rg,0
1291,14:46:03,428,77,1,3.0,Bakery,Scone,Oatmeal Scone,Regular,0
1293,11:05:21,447,31,2,2.2,Coffee,Gourmet brewed coffee,Ethiopia,Sm,0
1296,14:03:41,730,32,1,3.0,Coffee,Gourmet brewed coffee,Ethiopia,Rg,0
1297,15:57:47,672,57,2,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Lg,0
1298,16:36:10,189,28,1,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Sm,0
1301,18:22:53,169,32,1,3.0,Coffee,Gourmet brewed coffee,Ethiopia,Rg,0
1301,18:22:53,169,79,1,3.75,Bakery,Scone,Jumbo Savory Scone,Regular,0
1302,19:12:14,18,22,1,2.0,Coffee,Drip coffee,Our Old Time Diner Blend,Sm,0
1320,17:37:58,646,31,2,2.2,Coffee,Gourmet brewed coffee,Ethiopia,Sm,0
1325,12:03:43,477,44,1,2.5,Tea,Brewed herbal tea,Peppermint,Rg,0
1332,13:00:03,377,36,2,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Lg,0
1333,18:25:51,258,61,1,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Lg,0
